DEVICE_ID,STATUS_ID,tStart,tEnd
07,13,2023-02-13 06:00:00,2023-02-18 06:00:00
24,03,2023-02-14 07:57:23,2023-02-14 21:40:21
24,04,2023-02-14 07:16:27,2023-02-14 07:57:23
24,26,2023-02-15 05:07:23,2023-02-15 06:07:37
24,07,2023-02-14 01:06:31,2023-02-14 07:16:27
24,26,2023-02-16 05:15:06,2023-02-16 06:01:16
24,03,2023-02-16 06:01:16,2023-02-16 21:45:35
24,12,2023-02-17 21:30:39,2023-02-18 06:00:00
24,12,2023-02-14 21:40:21,2023-02-15 05:07:23
24,03,2023-02-15 06:07:37,2023-02-15 21:48:58
24,12,2023-02-16 21:45:35,2023-02-17 05:09:55
24,26,2023-02-17 05:09:55,2023-02-17 06:14:55
24,03,2023-02-17 06:14:55,2023-02-17 21:30:39
24,12,2023-02-15 21:48:58,2023-02-16 05:15:06
29,13,2023-02-13 06:00:00,2023-02-13 07:03:42
29,17,2023-02-13 07:03:42,2023-02-13 07:31:14
29,04,2023-02-15 14:45:36,2023-02-15 15:14:26
29,17,2023-02-15 15:14:26,2023-02-15 15:15:21
29,03,2023-02-15 15:15:21,2023-02-16 21:49:01
29,25,2023-02-15 11:38:34,2023-02-15 12:26:56
29,04,2023-02-15 12:26:56,2023-02-15 12:31:32
29,03,2023-02-15 12:31:32,2023-02-15 14:45:36
29,12,2023-02-16 21:49:01,2023-02-17 05:15:22
29,26,2023-02-17 05:15:22,2023-02-17 06:15:28
29,12,2023-02-17 22:15:34,2023-02-17 22:18:11
29,03,2023-02-17 06:15:28,2023-02-17 22:15:34
29,13,2023-02-17 22:18:11,2023-02-18 00:10:58
29,26,2023-02-13 08:00:12,2023-02-13 08:53:35
29,25,2023-02-13 08:53:35,2023-02-13 09:30:40
29,07,2023-02-13 09:30:40,2023-02-13 09:33:35
29,12,2023-02-13 09:33:35,2023-02-13 09:53:09
29,04,2023-02-13 12:31:09,2023-02-13 12:44:14
29,36,2023-02-15 09:50:10,2023-02-15 10:48:08
29,04,2023-02-13 14:36:01,2023-02-13 14:46:28
29,17,2023-02-15 09:02:19,2023-02-15 09:23:31
29,09,2023-02-15 10:48:08,2023-02-15 11:05:34
29,09,2023-02-15 11:05:34,2023-02-15 11:38:34
29,09,2023-02-15 09:23:31,2023-02-15 09:50:10
29,09,2023-02-13 07:34:12,2023-02-13 08:00:12
29,03,2023-02-13 09:53:09,2023-02-13 12:31:09
29,17,2023-02-13 12:44:14,2023-02-13 14:05:21
29,03,2023-02-13 14:05:21,2023-02-13 14:36:01
29,03,2023-02-13 14:46:28,2023-02-13 16:15:12
29,24,2023-02-13 16:15:12,2023-02-13 16:59:43
29,13,2023-02-13 16:59:43,2023-02-15 09:02:19
29,09,2023-02-13 07:31:14,2023-02-13 07:34:12
24,13,2023-02-13 06:00:00,2023-02-13 23:36:29
24,09,2023-02-13 23:36:29,2023-02-14 01:06:31
34,32,2023-02-15 13:20:53,2023-02-15 14:33:51
34,03,2023-02-15 14:33:51,2023-02-16 12:07:28
34,10,2023-02-15 13:14:56,2023-02-15 13:20:53
34,10,2023-02-16 12:07:28,2023-02-16 13:03:50
34,03,2023-02-16 13:03:50,2023-02-18 05:44:24
34,13,2023-02-13 06:00:00,2023-02-13 07:11:01
34,03,2023-02-13 07:11:01,2023-02-14 04:44:12
34,26,2023-02-14 06:45:48,2023-02-14 06:48:22
34,03,2023-02-14 06:48:22,2023-02-15 13:14:56
34,10,2023-02-14 04:44:12,2023-02-14 06:45:48
35,05,2023-02-13 06:00:00,2023-02-14 14:04:18
35,04,2023-02-14 14:04:18,2023-02-14 18:37:27
35,10,2023-02-14 19:18:54,2023-02-15 07:00:06
35,32,2023-02-15 07:00:06,2023-02-15 09:21:16
35,04,2023-02-15 09:21:16,2023-02-15 09:37:19
35,12,2023-02-16 22:17:48,2023-02-16 22:32:02
35,03,2023-02-16 22:32:02,2023-02-18 05:50:09
35,26,2023-02-15 09:37:19,2023-02-15 10:15:27
35,03,2023-02-15 13:23:24,2023-02-16 22:17:48
35,07,2023-02-15 12:49:02,2023-02-15 13:23:24
35,09,2023-02-14 18:37:27,2023-02-14 19:18:54
35,03,2023-02-15 10:15:27,2023-02-15 12:49:02
21,13,2023-02-13 06:00:00,2023-02-13 08:55:45
21,03,2023-02-14 10:24:06,2023-02-14 14:34:30
21,17,2023-02-14 15:25:10,2023-02-14 15:32:01
21,03,2023-02-14 15:32:01,2023-02-14 15:50:43
21,04,2023-02-14 15:50:43,2023-02-14 16:13:03
21,03,2023-02-14 16:13:03,2023-02-15 00:07:05
21,05,2023-02-13 08:55:45,2023-02-14 08:39:10
21,07,2023-02-14 09:38:29,2023-02-14 10:24:06
21,09,2023-02-14 08:39:10,2023-02-14 09:38:29
21,04,2023-02-14 14:34:30,2023-02-14 15:25:10
21,17,2023-02-15 00:07:05,2023-02-15 00:09:54
21,03,2023-02-15 00:09:54,2023-02-18 04:47:19
15,11,2023-02-16 15:33:04,2023-02-16 16:04:59
15,03,2023-02-16 16:04:59,2023-02-16 16:05:05
15,26,2023-02-16 17:26:58,2023-02-16 17:34:33
15,10,2023-02-16 17:34:33,2023-02-17 06:49:05
15,04,2023-02-17 08:08:02,2023-02-17 08:17:57
15,26,2023-02-17 08:23:05,2023-02-17 08:45:03
15,25,2023-02-17 08:45:03,2023-02-17 09:09:45
15,09,2023-02-16 16:05:05,2023-02-16 17:26:58
15,07,2023-02-17 09:09:45,2023-02-17 10:48:48
15,04,2023-02-17 10:48:48,2023-02-17 10:54:35
15,32,2023-02-17 06:49:05,2023-02-17 08:08:02
15,12,2023-02-17 21:39:57,2023-02-18 06:00:00
15,03,2023-02-17 10:54:35,2023-02-17 21:39:57
15,22,2023-02-17 08:17:57,2023-02-17 08:23:05
36,13,2023-02-13 06:00:00,2023-02-18 06:00:00
08,19,2023-02-13 06:00:00,2023-02-13 06:42:57
08,03,2023-02-13 06:42:57,2023-02-13 07:10:57
08,07,2023-02-13 07:10:57,2023-02-13 08:06:41
08,03,2023-02-13 08:06:41,2023-02-13 10:10:51
08,17,2023-02-13 10:22:30,2023-02-13 12:13:40
08,04,2023-02-13 12:13:40,2023-02-13 12:45:12
08,17,2023-02-13 18:11:04,2023-02-13 18:17:59
08,03,2023-02-14 08:46:51,2023-02-14 11:21:34
08,03,2023-02-13 18:17:59,2023-02-13 21:32:51
08,03,2023-02-14 06:12:21,2023-02-14 08:44:41
08,04,2023-02-14 08:44:41,2023-02-14 08:46:51
08,17,2023-02-13 14:28:03,2023-02-13 15:53:42
08,07,2023-02-13 15:53:42,2023-02-13 16:42:21
08,04,2023-02-13 16:42:21,2023-02-13 16:53:01
08,12,2023-02-13 21:32:51,2023-02-14 06:12:21
08,17,2023-02-13 14:10:52,2023-02-13 14:28:03
08,04,2023-02-13 13:21:49,2023-02-13 13:22:43
08,03,2023-02-13 13:22:43,2023-02-13 14:10:52
08,04,2023-02-13 10:10:51,2023-02-13 10:22:30
08,17,2023-02-13 16:53:01,2023-02-13 17:05:04
08,03,2023-02-13 17:05:04,2023-02-13 18:11:04
08,03,2023-02-13 12:45:12,2023-02-13 13:21:49
23,10,2023-02-13 06:00:00,2023-02-14 08:37:08
23,04,2023-02-14 15:52:47,2023-02-14 16:12:41
23,17,2023-02-14 16:12:41,2023-02-14 16:13:18
23,26,2023-02-14 16:13:18,2023-02-14 16:56:17
23,17,2023-02-14 16:56:17,2023-02-14 17:07:45
23,03,2023-02-14 19:11:25,2023-02-14 19:38:53
23,17,2023-02-16 15:25:23,2023-02-16 15:29:26
23,03,2023-02-16 15:29:26,2023-02-16 21:44:23
23,03,2023-02-17 09:32:37,2023-02-17 10:18:15
23,17,2023-02-17 10:23:16,2023-02-17 10:30:22
23,04,2023-02-17 09:28:41,2023-02-17 09:32:37
23,04,2023-02-17 10:18:15,2023-02-17 10:23:16
23,03,2023-02-17 10:30:22,2023-02-17 21:28:32
23,12,2023-02-17 21:28:32,2023-02-18 06:00:00
23,26,2023-02-16 12:55:48,2023-02-16 14:17:04
23,04,2023-02-16 15:19:53,2023-02-16 15:25:23
23,09,2023-02-16 12:49:34,2023-02-16 12:55:48
23,17,2023-02-16 14:17:04,2023-02-16 14:29:02
23,27,2023-02-16 14:29:02,2023-02-16 15:19:53
23,12,2023-02-16 21:44:23,2023-02-17 05:09:04
23,26,2023-02-17 05:09:04,2023-02-17 06:03:44
23,03,2023-02-17 06:03:44,2023-02-17 09:28:41
23,04,2023-02-15 15:48:55,2023-02-15 16:01:28
23,03,2023-02-14 18:16:42,2023-02-14 19:00:44
23,25,2023-02-15 10:48:57,2023-02-15 10:54:23
23,07,2023-02-15 10:54:23,2023-02-15 14:02:48
23,17,2023-02-15 16:01:28,2023-02-15 16:22:07
23,05,2023-02-16 09:01:28,2023-02-16 11:49:15
23,03,2023-02-14 17:07:45,2023-02-14 18:06:22
23,17,2023-02-14 18:06:22,2023-02-14 18:09:33
23,03,2023-02-14 18:09:33,2023-02-14 18:12:00
23,04,2023-02-14 18:12:00,2023-02-14 18:16:42
23,17,2023-02-15 14:03:47,2023-02-15 14:41:59
23,03,2023-02-15 14:57:46,2023-02-15 15:48:55
23,26,2023-02-15 09:42:27,2023-02-15 10:48:57
23,17,2023-02-15 14:02:48,2023-02-15 14:03:47
23,08,2023-02-15 16:22:07,2023-02-16 09:01:28
23,04,2023-02-15 14:41:59,2023-02-15 14:57:46
23,11,2023-02-16 11:49:15,2023-02-16 12:49:34
23,32,2023-02-14 08:37:08,2023-02-14 15:52:47
23,17,2023-02-14 19:38:53,2023-02-14 20:13:43
23,17,2023-02-14 19:00:44,2023-02-14 19:11:25
23,05,2023-02-14 20:13:43,2023-02-15 09:14:19
23,04,2023-02-15 09:14:19,2023-02-15 09:22:25
23,17,2023-02-15 09:22:25,2023-02-15 09:26:26
23,09,2023-02-15 09:26:26,2023-02-15 09:42:27
15,09,2023-02-14 06:24:08,2023-02-14 07:32:39
15,26,2023-02-14 07:32:39,2023-02-14 08:03:55
15,25,2023-02-14 08:03:55,2023-02-14 08:14:53
15,03,2023-02-14 08:44:14,2023-02-14 21:46:17
15,26,2023-02-15 05:07:00,2023-02-15 06:08:15
15,07,2023-02-14 08:14:53,2023-02-14 08:44:14
15,03,2023-02-16 11:04:38,2023-02-16 13:58:09
15,17,2023-02-15 21:48:07,2023-02-15 21:54:07
15,12,2023-02-15 21:54:07,2023-02-16 05:18:38
15,03,2023-02-16 06:07:51,2023-02-16 11:02:21
15,24,2023-02-16 13:59:35,2023-02-16 14:54:22
15,26,2023-02-16 05:18:38,2023-02-16 06:07:51
15,04,2023-02-16 11:02:21,2023-02-16 11:04:38
15,12,2023-02-14 21:46:17,2023-02-15 05:07:00
15,03,2023-02-15 06:08:15,2023-02-15 21:48:07
15,12,2023-02-16 13:58:09,2023-02-16 13:59:35
15,17,2023-02-16 14:54:22,2023-02-16 15:33:04
08,09,2023-02-17 07:20:47,2023-02-17 08:01:08
08,36,2023-02-17 08:01:08,2023-02-17 08:30:36
08,07,2023-02-17 09:15:16,2023-02-17 09:51:28
08,26,2023-02-17 13:45:32,2023-02-17 14:13:49
08,17,2023-02-17 14:13:49,2023-02-17 14:26:04
08,03,2023-02-17 14:26:04,2023-02-17 21:37:30
08,12,2023-02-17 21:37:30,2023-02-18 06:00:00
08,12,2023-02-17 09:51:28,2023-02-17 13:45:32
08,26,2023-02-17 08:30:36,2023-02-17 09:15:16
15,26,2023-02-13 06:00:00,2023-02-13 06:20:45
15,03,2023-02-13 06:20:45,2023-02-14 02:20:37
15,26,2023-02-13 05:15:08,2023-02-13 06:00:00
15,17,2023-02-14 06:21:09,2023-02-14 06:24:08
15,24,2023-02-14 02:20:37,2023-02-14 02:24:58
15,17,2023-02-14 02:24:58,2023-02-14 02:26:03
15,13,2023-02-14 02:26:03,2023-02-14 06:21:09
37,26,2023-02-13 06:00:00,2023-02-13 06:59:06
37,03,2023-02-13 06:59:06,2023-02-14 17:13:28
37,26,2023-02-13 05:28:21,2023-02-13 06:00:00
37,17,2023-02-14 17:59:07,2023-02-14 18:03:45
37,04,2023-02-14 17:13:28,2023-02-14 17:59:07
37,03,2023-02-14 18:03:45,2023-02-17 21:43:08
37,12,2023-02-17 21:43:08,2023-02-17 22:21:21
37,10,2023-02-17 22:21:21,2023-02-18 06:00:00
30,12,2023-02-13 06:00:00,2023-02-13 06:11:59
30,26,2023-02-13 06:11:59,2023-02-13 06:20:27
30,03,2023-02-13 06:20:27,2023-02-18 05:21:56
06,25,2023-02-14 07:34:57,2023-02-14 08:06:44
06,07,2023-02-14 08:06:44,2023-02-14 10:01:42
06,04,2023-02-14 14:13:54,2023-02-14 14:28:09
06,03,2023-02-14 14:44:36,2023-02-15 10:02:59
06,04,2023-02-15 18:41:20,2023-02-15 18:45:47
06,04,2023-02-15 23:07:00,2023-02-15 23:14:28
06,26,2023-02-17 08:18:18,2023-02-17 08:21:07
06,12,2023-02-17 00:09:39,2023-02-17 05:18:07
06,03,2023-02-17 06:25:50,2023-02-17 07:49:33
06,12,2023-02-17 07:49:33,2023-02-17 08:18:18
06,12,2023-02-17 08:21:07,2023-02-18 06:00:00
06,03,2023-02-15 23:20:59,2023-02-16 11:18:25
06,04,2023-02-16 22:27:03,2023-02-16 23:09:22
06,17,2023-02-16 23:09:22,2023-02-16 23:16:08
06,04,2023-02-16 14:07:37,2023-02-16 14:17:01
06,04,2023-02-15 10:02:59,2023-02-15 10:25:48
06,03,2023-02-15 10:25:48,2023-02-15 18:41:20
06,03,2023-02-16 14:17:01,2023-02-16 22:27:03
06,03,2023-02-16 23:16:08,2023-02-17 00:09:39
06,26,2023-02-17 05:18:07,2023-02-17 06:25:50
06,05,2023-02-15 23:14:28,2023-02-15 23:20:59
06,03,2023-02-14 10:01:42,2023-02-14 14:13:54
06,17,2023-02-14 14:28:09,2023-02-14 14:44:36
06,03,2023-02-15 18:45:47,2023-02-15 23:07:00
06,04,2023-02-16 11:18:25,2023-02-16 11:19:33
06,03,2023-02-16 11:19:33,2023-02-16 14:07:37
08,26,2023-02-14 13:00:02,2023-02-14 13:07:14
08,25,2023-02-14 13:07:14,2023-02-14 13:36:22
08,17,2023-02-14 14:05:41,2023-02-14 14:20:48
08,13,2023-02-15 11:53:25,2023-02-17 07:20:47
08,09,2023-02-14 12:33:16,2023-02-14 13:00:02
08,09,2023-02-14 11:21:34,2023-02-14 11:57:19
08,26,2023-02-14 11:57:19,2023-02-14 12:33:16
08,07,2023-02-14 13:36:22,2023-02-14 14:03:33
08,04,2023-02-14 14:03:33,2023-02-14 14:05:41
08,03,2023-02-14 14:20:48,2023-02-15 11:16:06
08,24,2023-02-15 11:16:06,2023-02-15 11:53:25
06,13,2023-02-13 06:00:00,2023-02-13 07:54:57
06,36,2023-02-13 08:07:21,2023-02-13 08:47:50
06,09,2023-02-13 08:47:50,2023-02-13 09:47:11
06,26,2023-02-13 09:47:11,2023-02-13 10:49:29
06,07,2023-02-13 10:49:29,2023-02-13 11:45:26
06,24,2023-02-13 15:30:56,2023-02-13 19:08:53
06,26,2023-02-13 11:45:26,2023-02-13 12:03:43
06,22,2023-02-13 21:19:39,2023-02-14 07:34:57
06,36,2023-02-13 19:29:35,2023-02-13 21:19:39
06,09,2023-02-13 07:54:57,2023-02-13 08:07:21
06,03,2023-02-13 12:03:43,2023-02-13 15:30:56
06,09,2023-02-13 19:08:53,2023-02-13 19:29:35